"","x"
"HOXA3",1.22390293561994
"HOXA5",1.93336688808916
"HOXA7",2.6798250506413
"HOXA9",2.24306314581036
"HOXB1",0.17644788528694
"HOXB13",2.50534394150093
"HOXB2",0.116503764506123
"HOXB3",0.740240594781439
"HOXB4",0.15043553165801
"HOXB6",2.0359845937402
"HOXB7",3.82401519625753
"HOXB8",2.13194349069854
"HOXB9",4.36485216360836
"HOXC10",4.81998626165642
"HOXC13",4.51919034463219
"HOXC4",3.1075026774253
"HOXC8",4.30721287126266
"HOXC9",4.34476641621178
"HOXD10",4.11030606815611
"HOXD11",5.85792136984957
"HOXD12",0.787240344250267
"HOXD13",4.87140578248679
"HOXD4",1.76252281403299
"HOXD8",1.93187769702632
"HOXD9",2.25987987740467
"HSF1",0.816248305675024
"HSF2",0.112966011826914
"HSF4",0.616129461418049
"HSFX1",0.570960857839534
"ID1",0.249575629184754
"ID2",0.411563825919013
"ID3",1.05347829854838
"ID4",1.85389616839072
"IFI16",1.0352514799825
"IKZF1",0.118483480742982
"IKZF2",1.77082220003064
"IKZF3",0.269087111450456
"IKZF4",0.0808610152854343
"IKZF5",0.0341289454834941
"INSM1",0.554411572851858
"IRF1",0.72579967800152
"IRF2",0.218059314856187
"IRF3",0.941365477738238
"IRF4",0.544064837592521
"IRF5",0.503795239059114
"IRF7",1.28053553795594
"IRF8",0.280913004755451
"IRF9",1.19322235133136
"IRX4",1.41010286200693
"ISL1",1.93356694963005
"ISL2",1.22163829513099
"JARID2",0.647442605575278
"JDP2",0.339957608641116
"JUN",0.149730421942969
"JUNB",0.330002379858925
"JUND",0.112816507740948
"KAT5",0.108788322683373
"KCMF1",0.302983745869615
"KCNIP3",0.322765606704711
"KHSRP",0.54584416403222
"KIAA1549",0.27868256202874
"KLF1",0.722494487108593
"KLF10",0.142427733825575
"KLF11",0.282394859115761
"KLF12",0.617548860540703
"KLF13",0.646719799853381
"KLF16",0.568175394862527
"KLF2",0.815921310358954
"KLF3",0.216769169134111
"KLF4",0.961159941920637
"KLF5",0.352735663731561
"KLF6",0.651842609441064
"KLF8",1.08968548267134
"KLF9",0.804390527762231
"L3MBTL2",0.257565809826898
"LEF1",0.735366107379168
"LHX1",3.50929868661061
"LHX2",3.54496051585293
"LHX3",1.84833549635862
"LHX4",0.836065224534709
"LHX9",2.13523719563685
"LMX1A",1.29932780219063
"LMX1B",1.95944868293572
"LYAR",0.67843275056797
"LYL1",0.689597992267077
"MAF",0.586797840574306
"MAF1",0.403553253213958
"MAFA",0.0405941774766752
"MAFB",0.303438023053417
"MAFF",0.418333264435209
"MAFG",0.360822210678649
"MAFK",0.559629431835784
"MATR3",0.187907816127495
"MAX",0.198292831704932
"MAZ",0.969670808179356
"MBD1",0.276528370054766
"MBD2",0.0726418183713964
"MBD3",0.365171149598195
"MBD4",0.790580416014423
"MECP2",0.218085190276598
"MEF2A",0.0584974196364785
"MEF2B",0.827771993367339
"MEF2C",0.84829065520943
"MEF2D",0.0554822142770073
"MEIS1",1.14056669990374
"MEIS2",0.668925883353131
"MEIS3",1.75227994509125
"MEOX1",0.561059285817162
"MEOX2",1.51213911990532
"MGA",0.286852401865155
"MIER1",0.242552760922682
"MITF",1.42217826214255
"MLLT1",0.268939740751478
"MLLT10",0.00827096496144186
"MLLT3",0.048349501222698
"MLLT4",0.866856236780756
"MLLT6",0.318725932664814
"MLX",0.151100435537836
"MLXIP",0.379766100883336
"MLXIPL",2.23067792374674
